Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2024-08-16,38.637378,-90.176685,St. Louis,Missouri,Curtains moved though windows were shut.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-11-27,41.788603,-88.091412,Chicago,Illinois,Old radio emitted static and a faint melody.,Evening,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2024-02-03,29.782365,-95.49424,Houston,Texas,Witness reported cold spots and flickering lights.,Night,Phantom Sounds,
2021-08-12,30.209629,-97.751262,Austin,Texas,Flickering streetlamp coincided with sighting.,Midnight,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2023-03-14,30.114542,-89.601339,New Orleans,Louisiana,Witness reported cold spots and flickering lights.,Night,Phantom Sounds,
2023-02-19,39.56175,-85.838063,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2021-02-05,41.80286,-87.518311,Chicago,Illinois,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2023-06-10,40.816459,-89.65662,Peoria,Illinois,Witness captured blurry image on phone.,Evening,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2022-03-02,41.757874,-87.458051,Chicago,Illinois,Witness captured blurry image on phone.,Dawn,Shadow Figure,
2021-01-30,36.248627,-115.30342,Las Vegas,Nevada,Curtains moved though windows were shut.,Evening,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2022-09-05,41.272228,-96.401867,Omaha,Nebraska,Local dog barking frantically before sighting.,Dawn,Headless Spirit,
2023-04-08,42.84102,-87.885284,Milwaukee,Wisconsin,Apparition matched description of local legend.,Midnight,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2020-12-20,38.16951,-97.209766,Wichita,Kansas,Flickering streetlamp coincided with sighting.,Afternoon,White Lady,
2021-04-04,38.910148,-86.526781,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Dawn,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2023-07-18,29.604835,-98.513936,San Antonio,Texas,Old radio emitted static and a faint melody.,Evening,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2023-01-02,30.438228,-98.03433,Austin,Texas,Old radio emitted static and a faint melody.,Night,Full-Body Apparition,
2023-08-01,28.729206,-81.190574,Orlando,Florida,Phantom footsteps heard in empty hallway.,Afternoon,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2023-06-12,41.938621,-87.346619,Chicago,Illinois,Scent of old perfume noticed with no source.,Evening,Headless Spirit,
2023-07-26,41.382452,-81.790798,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2023-08-16,41.704367,-87.720494,Chicago,Illinois,Witness reported cold spots and flickering lights.,Dawn,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2023-10-29,29.867989,-94.967681,Houston,Texas,Apparition seen floating near old church grounds.,Morning,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2022-04-11,29.558266,-98.02274,San Antonio,Texas,Phantom footsteps heard in empty hallway.,Morning,Orbs,
2025-08-25,40.258141,-89.648015,Peoria,Illinois,Disembodied voice whispered a name.,Dawn,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2025-02-20,41.159484,-96.341209,Omaha,Nebraska,Old radio emitted static and a faint melody.,Morning,Poltergeist,
2022-05-18,42.982175,-87.9934,Milwaukee,Wisconsin,Flickering streetlamp coincided with sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2022-06-22,29.941476,-90.046258,New Orleans,Louisiana,Figure disappeared upon approach.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2022-09-02,41.830398,-87.491637,Chicago,Illinois,Apparition matched description of local legend.,Midnight,Headless Spirit,
2020-09-29,28.443191,-81.599706,Orlando,Florida,Local dog barking frantically before sighting.,Midnight,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2025-09-17,30.961597,-90.915036,Baton Rouge,Louisiana,Witness captured blurry image on phone.,Morning,Full-Body Apparition,
2023-06-28,32.828952,-96.834236,Dallas,Texas,Witness reported cold spots and flickering lights.,Afternoon,Phantom Sounds,
2022-08-08,40.124268,-104.896907,Denver,Colorado,Temperature dropped suddenly by 10°F.,Midnight,Full-Body Apparition,
2024-12-23,41.58523,-81.254213,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2022-12-17,39.948567,-86.445522,Indianapolis,Indiana,Witness captured blurry image on phone.,Night,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2022-06-10,27.956243,-82.496294,Tampa,Florida,Apparition seen floating near old church grounds.,Dawn,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2021-10-25,41.918774,-87.122272,Chicago,Illinois,Glowing orb photographed in backyard.,Morning,Phantom Sounds,
2021-05-29,32.587996,-96.902603,Dallas,Texas,Figure disappeared upon approach.,Midnight,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2021-06-23,28.57227,-81.344128,Orlando,Florida,Witness reported cold spots and flickering lights.,Morning,Phantom Sounds,
2022-05-18,29.463648,-95.310193,Houston,Texas,Apparition seen floating near old church grounds.,Dawn,Headless Spirit,
2023-09-25,33.685231,-86.615389,Birmingham,Alabama,Apparition matched description of local legend.,Dawn,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2024-07-16,39.970974,-82.937795,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,
2024-01-02,41.11425,-95.870074,Omaha,Nebraska,Phantom footsteps heard in empty hallway.,Dawn,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2022-08-22,28.086626,-82.653127,Tampa,Florida,Apparition seen floating near old church grounds.,Morning,White Lady,
2020-12-04,40.023756,-82.986306,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2022-08-18,38.716715,-89.99817,St. Louis,Missouri,Curtains moved though windows were shut.,Midnight,Shadow Figure,
2025-08-17,41.943209,-87.072097,Chicago,Illinois,Curtains moved though windows were shut.,Morning,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-07-05,32.778298,-96.836061,Dallas,Texas,Scent of old perfume noticed with no source.,Dawn,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2022-01-07,39.706879,-86.271745,Indianapolis,Indiana,Witness captured blurry image on phone.,Morning,Poltergeist,
2020-12-24,41.679266,-88.010653,Chicago,Illinois,Apparition seen floating near old church grounds.,Midnight,Full-Body Apparition,
2020-11-17,41.74195,-87.474946,Chicago,Illinois,Electronic devices malfunctioned during sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2024-11-08,42.656939,-87.891165,Milwaukee,Wisconsin,Witness reported cold spots and flickering lights.,Dawn,Headless Spirit,
2022-08-22,39.922244,-83.143114,Columbus,Ohio,Witness reported cold spots and flickering lights.,Night,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2023-10-07,25.692269,-80.386137,Miami,Florida,Glowing orb photographed in backyard.,Afternoon,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2023-05-16,38.763102,-90.250349,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Evening,Shadow Figure,
2023-01-05,41.789765,-86.781139,Chicago,Illinois,Glowing orb photographed in backyard.,Morning,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2024-06-28,29.541811,-98.539766,San Antonio,Texas,Temperature dropped suddenly by 10°F.,Afternoon,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2022-06-11,32.881602,-96.386727,Dallas,Texas,Scent of old perfume noticed with no source.,Afternoon,Full-Body Apparition,
2024-08-08,39.645581,-104.679379,Denver,Colorado,Flickering streetlamp coincided with sighting.,Midnight,Headless Spirit,
2025-06-14,30.198085,-97.612393,Austin,Texas,Glowing orb photographed in backyard.,Night,Poltergeist,
2024-03-04,29.670536,-98.573994,San Antonio,Texas,Glowing orb photographed in backyard.,Afternoon,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2025-09-01,40.718617,-89.622583,Peoria,Illinois,Witness reported cold spots and flickering lights.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2025-06-27,40.650196,-89.714032,Peoria,Illinois,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,
2023-09-13,44.935391,-93.345782,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Morning,Poltergeist,
2021-01-04,32.990742,-96.972304,Dallas,Texas,Flickering streetlamp coincided with sighting.,Midnight,Headless Spirit,
2021-07-26,30.52245,-97.837901,Austin,Texas,Disembodied voice whispered a name.,Dawn,Poltergeist,
2022-05-19,42.184873,-87.307918,Chicago,Illinois,Witness reported cold spots and flickering lights.,Afternoon,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2022-05-15,39.709364,-86.081584,Indianapolis,Indiana,Local dog barking frantically before sighting.,Midnight,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2020-12-15,42.239115,-87.581435,Chicago,Illinois,Witness captured blurry image on phone.,Evening,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2022-06-28,38.062521,-96.884815,Wichita,Kansas,Curtains moved though windows were shut.,Afternoon,Orbs,
2025-08-13,28.372157,-81.347001,Orlando,Florida,Disembodied voice whispered a name.,Night,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2022-02-27,33.600181,-86.657295,Birmingham,Alabama,Curtains moved though windows were shut.,Midnight,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2023-10-17,30.353333,-89.248254,Gulfport,Mississippi,Figure disappeared upon approach.,Midnight,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2021-05-02,33.707903,-87.213619,Birmingham,Alabama,Phantom footsteps heard in empty hallway.,Morning,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2023-01-03,33.763777,-87.241281,Birmingham,Alabama,Apparition seen floating near old church grounds.,Morning,Phantom Sounds,
2023-08-15,41.381602,-81.444557,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2021-07-19,41.474977,-81.881044,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2025-05-16,30.846416,-88.112436,Mobile,Alabama,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2025-06-12,33.00649,-96.770601,Dallas,Texas,Witness reported cold spots and flickering lights.,Afternoon,Headless Spirit,
2023-10-09,32.919101,-96.818328,Dallas,Texas,Disembodied voice whispered a name.,Night,Poltergeist,
2021-03-08,39.856324,-105.085264,Denver,Colorado,Witness captured blurry image on phone.,Dawn,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2021-05-04,32.742748,-96.77237,Dallas,Texas,Apparition matched description of local legend.,Morning,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2022-10-22,29.758261,-95.334432,Houston,Texas,Apparition seen floating near old church grounds.,Evening,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2024-08-15,44.881531,-93.21304,Minneapolis,Minnesota,Figure disappeared upon approach.,Morning,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2024-10-17,40.138574,-82.908438,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Evening,Poltergeist,
2024-04-21,38.607399,-90.239346,St. Louis,Missouri,Electronic devices malfunctioned during sighting.,Morning,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-10-16,42.850482,-87.983137,Milwaukee,Wisconsin,Disembodied voice whispered a name.,Morning,Orbs,
2023-03-20,41.849538,-93.554368,Des Moines,Iowa,Apparition matched description of local legend.,Morning,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-03-27,28.322696,-81.466631,Orlando,Florida,Glowing orb photographed in backyard.,Midnight,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2025-02-25,39.751657,-86.645719,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Midnight,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-04-20,28.254006,-81.834914,Orlando,Florida,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-06-10,41.846487,-87.439245,Chicago,Illinois,Scent of old perfume noticed with no source.,Night,Orbs,
2023-11-17,41.607117,-82.018116,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2022-02-04,41.75363,-81.564941,Cleveland,Ohio,Scent of old perfume noticed with no source.,Evening,Poltergeist,
2023-02-08,28.400893,-81.465635,Orlando,Florida,Curtains moved though windows were shut.,Morning,White Lady,
2024-12-03,32.731379,-96.801973,Dallas,Texas,Local dog barking frantically before sighting.,Evening,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2020-12-02,38.626386,-90.057951,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Evening,Headless Spirit,
2021-12-17,38.632198,-89.926874,St. Louis,Missouri,Scent of old perfume noticed with no source.,Dawn,White Lady,
2021-06-16,30.496388,-91.277883,Baton Rouge,Louisiana,Apparition seen floating near old church grounds.,Midnight,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2020-12-06,27.961046,-82.521488,Tampa,Florida,Glowing orb photographed in backyard.,Midnight,Phantom Sounds,
2025-08-25,40.000857,-75.251615,Philadelphia,Pennsylvania,Figure disappeared upon approach.,Night,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2025-06-08,33.426432,-87.01374,Birmingham,Alabama,Glowing orb photographed in backyard.,Midnight,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2023-02-17,39.951231,-83.165702,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2022-02-08,40.93947,-89.930049,Peoria,Illinois,Apparition seen floating near old church grounds.,Dawn,Shadow Figure,
2025-07-15,38.800853,-90.40537,St. Louis,Missouri,Apparition matched description of local legend.,Evening,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2025-08-05,39.797708,-82.698719,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2023-03-08,30.419614,-89.143103,Gulfport,Mississippi,Old radio emitted static and a faint melody.,Night,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2021-11-08,39.722694,-85.993546,Indianapolis,Indiana,Curtains moved though windows were shut.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2023-12-20,29.789173,-89.958026,New Orleans,Louisiana,Apparition matched description of local legend.,Night,White Lady,
2024-10-23,39.847015,-85.940548,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Night,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2025-06-29,39.966055,-86.245655,Indianapolis,Indiana,Glowing orb photographed in backyard.,Dawn,Phantom Sounds,
2023-11-26,29.181687,-98.626653,San Antonio,Texas,Figure disappeared upon approach.,Night,Phantom Sounds,
2021-11-21,40.024048,-83.041282,Columbus,Ohio,Glowing orb photographed in backyard.,Evening,Poltergeist,
2024-06-09,41.669102,-87.41815,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Midnight,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2022-02-20,29.844782,-95.612362,Houston,Texas,Temperature dropped suddenly by 10°F.,Dawn,Orbs,
2022-06-18,41.971803,-87.94563,Chicago,Illinois,Apparition seen floating near old church grounds.,Night,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2023-05-02,41.816891,-86.90709,Chicago,Illinois,Electronic devices malfunctioned during sighting.,Afternoon,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2025-06-24,41.543931,-81.427644,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2023-10-20,29.785445,-95.293045,Houston,Texas,Scent of old perfume noticed with no source.,Dawn,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2025-01-13,29.950856,-90.186979,New Orleans,Louisiana,Apparition seen floating near old church grounds.,Morning,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2025-08-04,39.669787,-74.826316,Philadelphia,Pennsylvania,Witness captured blurry image on phone.,Afternoon,Full-Body Apparition,
2021-08-15,37.913311,-97.579377,Wichita,Kansas,Flickering streetlamp coincided with sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2023-05-23,40.252252,-83.17244,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2023-07-06,30.732974,-88.021248,Mobile,Alabama,Local dog barking frantically before sighting.,Midnight,Full-Body Apparition,
2021-08-29,32.6098,-96.657346,Dallas,Texas,Witness reported cold spots and flickering lights.,Morning,White Lady,
2022-08-28,28.113572,-82.613751,Tampa,Florida,Glowing orb photographed in backyard.,Morning,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2020-09-28,39.747225,-82.685767,Columbus,Ohio,Apparition seen floating near old church grounds.,Night,Full-Body Apparition,
2020-09-28,30.460746,-88.072776,Mobile,Alabama,Temperature dropped suddenly by 10°F.,Evening,Shadow Figure,
2025-01-02,30.403161,-95.190825,Houston,Texas,Disembodied voice whispered a name.,Evening,Orbs,
2023-04-23,28.390658,-81.440598,Orlando,Florida,Apparition seen floating near old church grounds.,Night,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2022-09-04,41.916191,-81.573704,Cleveland,Ohio,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2021-11-12,28.640647,-81.316864,Orlando,Florida,Apparition seen floating near old church grounds.,Midnight,Shadow Figure,
2024-08-08,39.778294,-86.313971,Indianapolis,Indiana,Local dog barking frantically before sighting.,Dawn,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-02-17,39.956902,-83.006512,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Poltergeist,
2022-12-26,39.909641,-83.097158,Columbus,Ohio,Figure disappeared upon approach.,Evening,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2023-06-14,39.857633,-85.818406,Indianapolis,Indiana,Local dog barking frantically before sighting.,Morning,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2021-10-25,33.376845,-86.78354,Birmingham,Alabama,Phantom footsteps heard in empty hallway.,Dawn,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2023-10-18,28.623448,-81.305695,Orlando,Florida,Curtains moved though windows were shut.,Afternoon,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2025-07-17,32.692513,-97.042541,Dallas,Texas,Curtains moved though windows were shut.,Afternoon,Shadow Figure,
2024-05-24,39.822317,-86.128548,Indianapolis,Indiana,Glowing orb photographed in backyard.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-06-21,41.554646,-87.556962,Chicago,Illinois,Witness reported cold spots and flickering lights.,Afternoon,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2023-05-31,41.56178,-95.949565,Omaha,Nebraska,Curtains moved though windows were shut.,Dawn,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2025-07-24,41.720992,-81.552937,Cleveland,Ohio,Glowing orb photographed in backyard.,Midnight,Shadow Figure,
2021-12-24,43.33571,-87.701069,Milwaukee,Wisconsin,Glowing orb photographed in backyard.,Night,White Lady,
2022-03-06,29.27991,-98.71588,San Antonio,Texas,Apparition matched description of local legend.,Afternoon,Phantom Sounds,
2021-04-15,40.500754,-75.73616,Philadelphia,Pennsylvania,Phantom footsteps heard in empty hallway.,Night,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
2024-05-01,40.695241,-73.852863,New York,New York,Apparition matched description of local legend.,Evening,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2024-05-15,25.515882,-80.365162,Miami,Florida,Old radio emitted static and a faint melody.,Afternoon,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2025-03-05,44.876813,-92.830385,Minneapolis,Minnesota,Scent of old perfume noticed with no source.,Dawn,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2024-11-02,38.85773,-90.725189,St. Louis,Missouri,Glowing orb photographed in backyard.,Morning,Phantom Sounds,
2022-07-03,30.204948,-97.767798,Austin,Texas,Disembodied voice whispered a name.,Night,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2020-12-21,41.83456,-87.287775,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Midnight,Shadow Figure,
2020-11-20,41.909997,-81.267985,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,White Lady,
2024-01-04,39.92585,-85.944956,Indianapolis,Indiana,Local dog barking frantically before sighting.,Evening,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2023-05-07,39.297622,-86.334119,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Morning,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2023-06-13,32.328329,-90.297693,Jackson,Mississippi,Witness reported cold spots and flickering lights.,Dawn,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2023-11-15,39.639235,-105.099535,Denver,Colorado,Temperature dropped suddenly by 10°F.,Morning,Headless Spirit,
2023-05-05,41.175302,-81.89469,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Night,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2024-07-02,41.764155,-87.731935,Chicago,Illinois,Curtains moved though windows were shut.,Night,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2021-01-20,32.252588,-90.292862,Jackson,Mississippi,Scent of old perfume noticed with no source.,Evening,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2023-01-12,28.511525,-81.163675,Orlando,Florida,Witness captured blurry image on phone.,Night,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2022-04-25,29.664923,-95.240521,Houston,Texas,Disembodied voice whispered a name.,Evening,White Lady,
2021-03-22,41.366505,-81.734879,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Poltergeist,
2024-10-19,44.752934,-93.34945,Minneapolis,Minnesota,Glowing orb photographed in backyard.,Midnight,Orbs,
2024-09-16,41.868761,-87.523382,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Night,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2022-11-01,29.498896,-98.412407,San Antonio,Texas,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2023-07-02,27.976856,-81.611065,Orlando,Florida,Old radio emitted static and a faint melody.,Morning,Headless Spirit,
2021-06-13,41.79231,-87.582631,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,
